iter	RMSE
134	0.4578443948
135	0.4572273056
136	0.4567058247
137	0.4561991899
138	0.4557222892
139	0.4552270812
140	0.45474389
141	0.4542501894
142	0.4537766514
143	0.4533056494
144	0.4528505531
145	0.4523766915
146	0.4519404087
147	0.4514600883
148	0.4509967132
149	0.4505364083
150	0.4500900721
151	0.4496512456
152	0.4491025705
153	0.4486612797
154	0.4482220761
155	0.4477901662
156	0.4473814269
157	0.4469529776
158	0.4465329327
159	0.4461250072
160	0.4457172548
161	0.4453068535
162	0.4447857891
163	0.4443972209
164	0.4440144571
165	0.4436352726
166	0.4432344407
167	0.4428393848
168	0.4424272168
169	0.4420486325
170	0.4416473092
171	0.4412776167
172	0.4409016474
173	0.4405364383
174	0.440166012
175	0.4398032051
176	0.4393128306
177	0.4388317223
178	0.4384623891
179	0.4380965477
180	0.4377476068
181	0.4372828697
182	0.4369301124
183	0.4365845018
184	0.4362442014
185	0.4359048199
186	0.435549291
187	0.435238158
188	0.4348993133
189	0.4345681192
190	0.4342425514
191	0.4339252047
192	0.4334884006
193	0.4330598183
194	0.4327467829
195	0.4324186946
196	0.43210073
197	0.4317868639
198	0.4314790473
199	0.431177135
200	0.4308715512
201	0.4305776084
202	0.4302641032
203	0.4299634679
204	0.4296755708
205	0.4293932671
206	0.4290927029
207	0.4287921099
208	0.42851002
209	0.4282184381
210	0.4279296175
211	0.4276519028
212	0.4273638849
213	0.4270813764
214	0.4268270798
215	0.4265615534
216	0.4261685321
217	0.4259106479
218	0.4256406353
219	0.4253723754
220	0.425121526
221	0.4248389712
222	0.4244585186
223	0.4241845726
224	0.423923321
225	0.4236781449
226	0.4234344837
227	0.4231791699
228	0.4229377554
229	0.4225843443
230	0.4222288836
231	0.4219960227
232	0.4217515283
233	0.4215001652
234	0.4212473105
235	0.4209055595
236	0.4206601996
237	0.4204099918
238	0.420186929
239	0.4199576921
240	0.4197206694
241	0.419502768
242	0.4192734825
243	0.4189443086
244	0.4187071311
245	0.4183842887
246	0.4181577918
247	0.4179378866
248	0.4177140635
249	0.4174932244
250	0.4172891272
251	0.4170686472
252	0.4168605557
253	0.4166422108
254	0.4164354738
255	0.4162158525
256	0.4160005187
257	0.4157893148
258	0.415589281
259	0.4153864299
260	0.4151885722
261	0.414989728
262	0.4147976241
263	0.4146041857
264	0.4144145364
265	0.4142198606
266	0.4140289762
267	0.4138341425
268	0.4136533974
269	0.4134715364
270	0.4131730441
271	0.4129888954
272	0.4127897234
273	0.4124974933
274	0.4123110815
275	0.4121320563
276	0.4119516997
277	0.4117818412
278	0.4116145164
279	0.4114412744
280	0.4112703284
281	0.4111010416
282	0.4109294563
283	0.410768687
284	0.4105986239
285	0.4104367042
286	0.4102837452
287	0.4101260014
288	0.4099546021
289	0.4097968743
290	0.4096521439
291	0.4094863046
292	0.4093308005
293	0.409170308
294	0.4090195435
295	0.4088717975
296	0.4087164648
297	0.4085681561
298	0.4084365407
299	0.4082908747
300	0.40814265
301	0.4079906221
302	0.4078406638
303	0.4076951673
304	0.4075560978
305	0.4073808906
306	0.4072381728
307	0.4070668501
308	0.4069225615
309	0.4067824853
310	0.406649621
311	0.4064829642
312	0.406342257
313	0.4062251515
314	0.4060630717
315	0.4059267075
316	0.4057954839
317	0.4056632571
318	0.4055339185
319	0.4054127582
320	0.4052830031
321	0.4051557556
322	0.4050249799
323	0.4049023919
324	0.4047795262
325	0.4046597292
326	0.404530431
327	0.4042733374
328	0.4041542945
329	0.4040389906
330	0.4039209762
331	0.4038121689
332	0.4035613298
333	0.4034442021
334	0.4033376215
335	0.4032363649
336	0.4031211248
337	0.4028761436
338	0.4027595908
339	0.4026457871
340	0.4025283446
341	0.4024328769
342	0.4023151906
343	0.4021902625
344	0.4020604731
345	0.4019502773
346	0.401838936
347	0.4017315778
348	0.4016227959
349	0.4014730316
350	0.4012391863
351	0.4011358212
352	0.4010412611
353	0.4009371888
354	0.4008297836
355	0.4007338626
356	0.4006308657
357	0.400532136
358	0.4004275907
359	0.4003270463
360	0.4002258924
361	0.4001529229
362	0.4000532228
363	0.3999181717
364	0.3998354595
365	0.3997355706
366	0.3996236365
367	0.3995267796
368	0.3993737165
369	0.3992761767
370	0.3991832753
371	0.3990337797
372	0.3988128089
373	0.3987040371
374	0.3986191665
375	0.3985124813
376	0.3982961751
377	0.3982062993
378	0.3981180186
379	0.3980247611
380	0.3979308207
381	0.3978398827
382	0.3977508225
383	0.397666165
384	0.3975766982
385	0.3974922487
386	0.397394431
387	0.397324804
388	0.3972240016
389	0.3971412926
390	0.397092638
391	0.3969646551
392	0.396880861
393	0.3967555848
394	0.3966688726
395	0.396585667
396	0.3965046557
397	0.3964646353
398	0.3963792975
399	0.3962859259
400	0.3962009553
401	0.3961151056
402	0.3960310333
403	0.3959509789
404	0.3958300978
405	0.395747196
406	0.395669165
407	0.3955865251
408	0.3954274029
409	0.3953320319
410	0.3952518606
411	0.3950495915
412	0.394961851
413	0.3948856635
414	0.3946873541
415	0.3946065209
416	0.394516064
417	0.3944364185
418	0.3943443782
419	0.3942653653
420	0.3941751514
421	0.3940863508
422	0.3940087823
423	0.3939211439
424	0.3938469074
425	0.393772991
426	0.3936985039
427	0.3935877122
428	0.3935120139
429	0.3934393719
430	0.3933472593
431	0.3932272255
432	0.3931488555
433	0.3930733949
434	0.3929916347
435	0.3929172722
436	0.3928501628
437	0.3927824714
438	0.39270864
439	0.3926357004
440	0.3925688283
441	0.3924589219
442	0.3923857373
443	0.3923150102
444	0.3922436867
445	0.3921733563
446	0.3921088406
447	0.3920403129
448	0.391971972
449	0.3919071372
450	0.3918000916
451	0.3917185258
452	0.3916549303
453	0.3915890726
454	0.3915217853
455	0.3914552954
456	0.3913908355
457	0.3912092355
458	0.391136963
459	0.3910708312
460	0.3910107685
461	0.3909409018
462	0.3908808316
463	0.3907042067
464	0.3906033296
465	0.39053954
466	0.3904770001
467	0.3904130152
468	0.3903530135
469	0.3902902565
470	0.3902317092
471	0.3901678963
472	0.3901076946
473	0.3900554023
474	0.3900019788
475	0.3899418889
476	0.3898593096
477	0.3898029846
478	0.3896690193
479	0.3895687621
480	0.3894408085
481	0.3893764656
482	0.3893350744
483	0.3892715025
484	0.3892060676
485	0.3891417235
486	0.3890807494
487	0.38902877
488	0.3889022171
489	0.3888336755
490	0.3887789062
491	0.3887220237
492	0.3886266118
493	0.3885728289
494	0.3885102608
495	0.3884542921
496	0.3883612982
497	0.388303815
498	0.3882264715
499	0.3881048916
500	0.3880497558
501	0.3878885843
502	0.3878354401
503	0.3877786579
504	0.3877283761
505	0.3876755367
506	0.3875183708
507	0.3874591532
508	0.3874055225
509	0.3873301505
510	0.387265784
511	0.387208956
512	0.3871517799
513	0.3870963321
514	0.38702236
515	0.3869686311
516	0.3869171108
517	0.386854955
518	0.3867722204
519	0.3866831687
520	0.3866284349
521	0.386541959
522	0.3864285482
523	0.3863439317
524	0.3862915714
525	0.3862391156
526	0.3861878134
527	0.3861350155
528	0.3860656041
529	0.3859935801
530	0.3859236383
531	0.3858676732
532	0.3857571457
533	0.3857106043
534	0.3856638678
535	0.3855798163
536	0.3855305366
537	0.3854817941
538	0.3854133647
539	0.385346276
540	0.3852386466
541	0.385193497
542	0.3851618386
543	0.3850896836
544	0.3850381017
545	0.3849570014
546	0.3848914533
547	0.3848437565
548	0.3847961424
549	0.3847503458
550	0.3847045438
551	0.3846494779
552	0.3846049938
553	0.3844619945
554	0.3843217688
555	0.3842843844
556	0.3842415698
557	0.3841412911
558	0.3840920932
559	0.3840059723
560	0.3839597896
561	0.3839124085
562	0.3838631559
563	0.3838183523
564	0.3837158681
565	0.3836141439
566	0.3835665296
567	0.3835214754
568	0.383482806
569	0.383433079
570	0.3833565065
571	0.3833137281
572	0.3832664705
573	0.383191454
574	0.3831597191
575	0.3831136379
576	0.3830606961
577	0.3829874329
578	0.3829454656
579	0.3828965212
580	0.3828507773
581	0.3828104622
582	0.3827688573
583	0.3827273243
584	0.3826856976
585	0.3826389354
586	0.3825984069
587	0.3825682402
588	0.3825204575
589	0.3824732038
590	0.3823453731
591	0.3823017041
592	0.3821763018
593	0.3821218405
594	0.3820794848
595	0.3820407715
596	0.381997731
597	0.3818751248
598	0.3818349235
599	0.3817917577
600	0.3817630585
601	0.3817199866
602	0.3816848236
603	0.3816240241
604	0.3815839879
605	0.381519648
606	0.3814810312
607	0.3814432534
608	0.3813843187
609	0.3813417278
610	0.381305955
611	0.3812495548
612	0.3811313864
613	0.3810894192
614	0.3810468209
615	0.3809957018
616	0.3808801663
617	0.3808469852
618	0.3808134687
619	0.3807887771
620	0.3807540782
621	0.3806409396
622	0.3806076865
623	0.380548584
624	0.3804718792
625	0.3804360758
626	0.3803741929
627	0.3803399686
628	0.3803007452
629	0.3802610437
630	0.3802266811
631	0.3801867156
632	0.3801566779
633	0.3801004148
634	0.3800571544
635	0.3800157224
636	0.3799072113
637	0.3798683408
638	0.3798256184
639	0.3797584405
640	0.3796988209
641	0.379643863
642	0.3795894491
643	0.379502409
644	0.3794661161
645	0.3794177373
646	0.3793766464
647	0.3793123046
648	0.3792740924
649	0.3792110179
650	0.3791067356
651	0.3790786043
652	0.3790408184
653	0.3790034658
654	0.3789650554
655	0.3789242626
656	0.3789005408
657	0.3788631873
658	0.3788064619
659	0.3787718773
660	0.3787337007
661	0.3786972955
662	0.3786600249
663	0.378626096
664	0.3785891786
665	0.3785332874
666	0.3785005442
667	0.3784629967
668	0.3784249948
669	0.3783892681
670	0.3783725687
671	0.3783344419
672	0.3783069743
673	0.3782346065
674	0.3781350152
675	0.3781108187
676	0.3780134245
677	0.3779790251
678	0.3779462596
679	0.3779170364
680	0.3778215006
681	0.3777844917
682	0.3777471567
683	0.3777184598
684	0.3776806927
685	0.3775873937
686	0.3775507489
687	0.3774592377
688	0.3774051929
689	0.3773668522
690	0.3772771429
691	0.3772276569
692	0.3771955236
693	0.3771619796
694	0.3771305512
695	0.3770978283
696	0.3770646891
697	0.3770335498
698	0.3769997588
699	0.3769373119
700	0.3769202896
701	0.3768340681
702	0.3768058189
703	0.3767695636
704	0.3767126524
705	0.3766802812
706	0.3766446218
707	0.3766085321
708	0.3765762037
709	0.3765395382
710	0.3765083684
711	0.3764737021
712	0.3764474705
713	0.3764168885
714	0.3763361829
715	0.376302148
716	0.3762721497
717	0.3762406211
718	0.3762122496
719	0.3761618982
720	0.3761301013
721	0.3761013198
722	0.3760749198
723	0.3760492564
724	0.3759671891
725	0.3759299328
726	0.3758990106
727	0.3758691745
728	0.3758427971
729	0.3758154974
730	0.3757357648
731	0.375702272
732	0.3756761941
733	0.3755980792
734	0.3755495653
735	0.3755231914
736	0.3754699449
737	0.3754413853
738	0.3753931238
739	0.3753647271
740	0.3753170528
741	0.3752876638
742	0.3752434851
743	0.3752162846
744	0.3751907702
745	0.3751640464
746	0.3751184635
747	0.3750921242
748	0.3750657311
749	0.3750123287
750	0.3749844359
751	0.3749514087
752	0.3749188595
753	0.3748669697
754	0.3748208958
755	0.3747963553
756	0.3747674065
757	0.3747331121
758	0.3747169259
759	0.3746950961
760	0.3746665295
761	0.3746381038
762	0.3745940046
763	0.3745698395
764	0.3745260184
765	0.3744941476
766	0.3744430577
767	0.3744149533
768	0.3743838409
769	0.3743702813
770	0.3743282198
771	0.3742976859
772	0.3742242563
773	0.3741826602
774	0.3741572706
775	0.3741284416
776	0.3740871734
777	0.3740612173
778	0.374036575
779	0.3739871551
780	0.3739623385
781	0.3739138209
782	0.373896648
783	0.3738673167
784	0.3738427919
785	0.3738157632
786	0.3737919388
787	0.3737676958
788	0.3737429689
789	0.3737150726
790	0.3736744367
791	0.373651868
792	0.3736280332
793	0.3736011585
794	0.3735750773
795	0.3735509246
796	0.3735272267
797	0.3735116665
798	0.3734648513
799	0.3734385911
800	0.3734200004
801	0.3733913493
802	0.3733650839
803	0.3733526355
804	0.3733266545
805	0.3733030337
806	0.3732751959
807	0.3732524204
808	0.3732271242
809	0.3732009908
810	0.3731759391
811	0.373152583
812	0.3731406237
813	0.3731149935
814	0.373090367
815	0.3730631401
816	0.3730270174
817	0.3730042789
818	0.3729776205
819	0.3729291838
820	0.3729062303
821	0.3728823347
822	0.3728595744
823	0.3728351923
824	0.3728116058
825	0.3727727926
826	0.3727480782
827	0.3727241855
828	0.3727020168
829	0.3726778989
830	0.3726402485
831	0.3725712127
832	0.3725496626
833	0.3725228932
834	0.3724992476
835	0.3724757052
836	0.3724551306
837	0.3724341493
838	0.3724085882
839	0.3723370627
840	0.3723119529
841	0.3722913823
842	0.3722702609
843	0.3722503424
844	0.3722360768
845	0.3722213526
846	0.3721547526
847	0.3721337413
848	0.3720709359
849	0.3720462402
850	0.3720225644
851	0.3719985728
852	0.3719808662
853	0.3719377093
854	0.3719152579
855	0.3718719625
856	0.3718520881
857	0.3718313479
858	0.3718088246
859	0.3717888158
860	0.3717647436
861	0.3717013515
862	0.3716392072
863	0.3715827426
864	0.3715632855
865	0.3715416637
866	0.3714862073
867	0.3714691844
868	0.371406411
869	0.3713823795
870	0.3713405438
871	0.3713153535
872	0.3712910013
873	0.3712687994
874	0.3712500869
875	0.3712409666
876	0.3712006767
877	0.371176947
878	0.3711571798
879	0.3711340117
880	0.3711103958
881	0.3710926993
882	0.3710684375
883	0.3710320024
884	0.3710118598
885	0.3709912828
886	0.3709821429
887	0.3709620239
888	0.370939868
889	0.370920758
890	0.3709046944
891	0.3708847944
892	0.3708682563
893	0.3708522955
894	0.3708293448
895	0.3707899957
896	0.3707709962
897	0.3707510497
898	0.370728855
899	0.3707086696
900	0.3707022826
901	0.3706844615
902	0.3706667973
903	0.3706463851
904	0.3706255775
905	0.3705666314
906	0.3705438735
907	0.3705206276
908	0.3705043231
909	0.3704829946
910	0.370468227
911	0.370449382
912	0.3703750316
913	0.3703583129
914	0.3703011399
915	0.3702620109
916	0.3702060074
917	0.3701688426
918	0.3701520224
919	0.370097108
920	0.3700818511
921	0.3700609986
922	0.3700439365
923	0.3700224893
924	0.3700001982
925	0.3699624596
926	0.3699478819
927	0.3699283783
928	0.3699128379
929	0.3698939251
930	0.3698794896
931	0.3698260101
932	0.3698088977
933	0.3697915869
934	0.3697709024
935	0.3697579246
936	0.3697367244
937	0.3697218348
938	0.369709356
939	0.369687191
940	0.3696499476
941	0.3696316012
942	0.3695791405
943	0.3695427168
944	0.3695243783
945	0.3695050501
946	0.369487514
947	0.3694749351
948	0.3694495253
949	0.3694346768
950	0.3694169924
951	0.369398463
952	0.3693648309
953	0.369348383
954	0.3693223972
955	0.3692884548
956	0.3692682434
957	0.3692597997
958	0.3692243737
959	0.3692048978
960	0.3691369617
961	0.3691161745
962	0.3691004283
963	0.3690825827
964	0.3690527236
965	0.3690368823
966	0.3689991904
967	0.3689861722
968	0.3689685851
969	0.3689530307
970	0.3689330387
971	0.3689159509
972	0.3688973303
973	0.3688791579
974	0.3688703751
975	0.3688530599
976	0.3688333927
977	0.3688178457
978	0.3687977407
979	0.3687688626
980	0.368748887
981	0.3687297824
982	0.3687174947
983	0.368656856
984	0.3686477508
985	0.3686330286
986	0.3686164423
987	0.3686016925
988	0.3685841002
989	0.368534597
990	0.3685036623
991	0.3684591197
992	0.3684054341
993	0.3683890889
994	0.3683708384
995	0.3683559068
996	0.3682967166
997	0.3682776811
998	0.3682605761
999	0.3682459046
