iter	Passed	Remaining
446	1152	1425
447	1155	1423
448	1157	1420
449	1160	1418
450	1162	1415
451	1165	1412
452	1168	1410
453	1171	1408
454	1173	1406
455	1176	1403
456	1178	1400
457	1181	1398
458	1184	1395
459	1186	1393
460	1189	1390
461	1191	1388
462	1194	1385
463	1197	1382
464	1201	1382
465	1204	1380
466	1207	1378
467	1209	1375
468	1212	1372
469	1214	1369
470	1216	1366
471	1219	1363
472	1221	1361
473	1224	1358
474	1227	1356
475	1229	1353
476	1231	1350
477	1233	1347
478	1235	1344
479	1237	1341
480	1239	1337
481	1241	1334
482	1244	1331
483	1246	1328
484	1248	1325
485	1250	1322
486	1252	1319
487	1254	1316
488	1256	1313
489	1260	1312
490	1263	1309
491	1266	1307
492	1269	1305
493	1271	1302
494	1273	1299
495	1275	1296
496	1278	1293
497	1280	1290
498	1282	1288
499	1285	1285
500	1288	1283
501	1290	1280
502	1292	1277
503	1294	1274
504	1296	1270
505	1298	1267
506	1300	1264
507	1302	1261
508	1306	1259
509	1308	1257
510	1311	1255
511	1314	1252
512	1317	1250
513	1320	1248
514	1323	1246
515	1326	1243
516	1328	1241
517	1330	1238
518	1332	1235
519	1334	1232
520	1337	1229
521	1339	1226
522	1342	1224
523	1344	1221
524	1347	1218
525	1349	1216
526	1353	1214
527	1355	1212
528	1358	1209
529	1361	1206
530	1363	1204
531	1365	1201
532	1368	1198
533	1370	1196
534	1373	1193
535	1376	1191
536	1379	1189
537	1382	1186
538	1385	1184
539	1387	1182
540	1390	1179
541	1392	1176
542	1394	1173
543	1397	1171
544	1402	1170
545	1404	1167
546	1406	1165
547	1409	1162
548	1412	1160
549	1414	1157
550	1417	1155
551	1420	1153
552	1423	1150
553	1426	1148
554	1428	1145
555	1431	1142
556	1433	1140
557	1436	1137
558	1438	1134
559	1440	1131
560	1443	1129
561	1446	1127
562	1448	1124
563	1451	1122
564	1454	1119
565	1456	1117
566	1459	1114
567	1462	1112
568	1464	1109
569	1467	1107
570	1470	1104
571	1473	1102
572	1475	1099
573	1479	1098
574	1481	1095
575	1484	1092
576	1487	1090
577	1490	1088
578	1492	1085
579	1495	1082
580	1498	1080
581	1501	1078
582	1503	1075
583	1506	1072
584	1508	1070
585	1511	1067
586	1513	1064
587	1516	1062
588	1518	1059
589	1520	1056
590	1524	1054
591	1526	1052
592	1529	1049
593	1532	1047
594	1534	1044
595	1537	1042
596	1540	1039
597	1543	1037
598	1546	1035
599	1548	1032
600	1552	1030
601	1556	1029
602	1561	1027
603	1567	1027
604	1570	1025
605	1573	1022
606	1575	1020
607	1579	1018
608	1583	1016
609	1586	1014
610	1589	1012
611	1592	1009
612	1594	1006
613	1597	1004
614	1601	1002
615	1604	1000
616	1606	997
617	1610	995
618	1613	993
619	1617	991
620	1620	988
621	1623	986
622	1625	983
623	1628	981
624	1632	979
625	1635	977
626	1637	974
627	1639	971
628	1641	968
629	1643	965
630	1646	962
631	1648	959
632	1650	956
633	1652	954
634	1655	951
635	1657	948
636	1659	945
637	1661	942
638	1663	940
639	1666	937
640	1668	934
641	1670	931
642	1673	928
643	1675	926
644	1677	923
645	1680	920
646	1682	917
647	1684	914
648	1686	912
649	1689	909
650	1694	908
651	1696	905
652	1698	902
653	1701	900
654	1703	897
655	1705	894
656	1707	891
657	1710	888
658	1712	886
659	1714	883
660	1717	880
661	1720	878
662	1722	875
663	1725	873
664	1727	870
665	1729	867
666	1734	865
667	1738	863
668	1740	861
669	1743	858
670	1747	856
671	1750	854
672	1753	852
673	1758	850
674	1762	848
675	1766	846
676	1770	844
677	1774	842
678	1777	840
679	1781	838
680	1785	836
681	1789	834
682	1793	832
683	1797	830
684	1801	828
685	1805	826
686	1809	824
687	1813	822
688	1816	820
689	1822	818
690	1825	816
691	1830	814
692	1833	812
693	1837	810
694	1841	808
695	1845	806
696	1850	804
697	1854	802
698	1858	800
699	1862	798
700	1867	796
701	1872	794
702	1876	792
703	1880	790
704	1884	788
705	1888	786
706	1892	784
707	1897	782
708	1902	780
709	1906	778
710	1910	776
711	1914	774
712	1917	772
713	1921	769
714	1925	767
715	1929	765
716	1933	763
717	1937	761
718	1941	758
719	1945	756
720	1949	754
721	1953	752
722	1958	750
723	1962	748
724	1966	745
725	1969	743
726	1973	741
727	1977	738
728	1981	736
729	1985	734
730	1989	732
731	1993	729
732	1997	727
733	2000	725
734	2005	722
735	2008	720
736	2011	717
737	2014	715
738	2017	712
739	2023	711
740	2026	708
741	2029	705
742	2032	702
743	2035	700
744	2038	697
745	2041	695
746	2045	692
747	2048	690
748	2052	687
749	2055	685
750	2058	682
751	2061	679
752	2065	677
753	2068	674
754	2071	672
755	2075	669
756	2078	667
757	2084	665
758	2088	663
759	2091	660
760	2095	657
761	2098	655
762	2101	652
763	2105	650
764	2107	647
765	2109	644
766	2112	641
767	2115	639
768	2118	636
769	2121	633
770	2124	631
771	2128	628
772	2132	626
773	2135	623
774	2138	620
775	2142	618
776	2147	616
777	2151	613
778	2154	611
779	2158	608
780	2161	606
781	2164	603
782	2168	600
783	2171	598
784	2175	595
785	2178	593
786	2182	590
787	2185	587
788	2188	585
789	2192	582
790	2195	580
791	2198	577
792	2200	574
793	2203	571
794	2208	569
795	2212	567
796	2216	564
797	2220	562
798	2223	559
799	2227	556
800	2230	554
801	2233	551
802	2236	548
803	2240	546
804	2243	543
805	2246	540
806	2251	538
807	2254	535
808	2258	533
809	2262	530
810	2268	528
811	2272	526
812	2276	523
813	2281	521
814	2285	518
815	2289	516
816	2292	513
817	2295	510
818	2299	508
819	2303	505
820	2307	503
821	2311	500
822	2317	498
823	2321	495
824	2325	493
825	2329	490
826	2333	488
827	2335	485
828	2338	482
829	2340	479
830	2343	476
831	2347	473
832	2351	471
833	2355	468
834	2358	466
835	2362	463
836	2365	460
837	2369	458
838	2373	455
839	2377	452
840	2380	450
841	2384	447
842	2388	444
843	2392	442
844	2397	439
845	2401	437
846	2405	434
847	2409	431
848	2412	429
849	2416	426
850	2420	423
851	2423	421
852	2426	418
853	2429	415
854	2433	412
855	2436	409
856	2438	406
857	2441	403
858	2443	401
859	2445	398
860	2448	395
861	2451	392
862	2455	389
863	2458	387
864	2462	384
865	2466	381
866	2472	379
867	2475	376
868	2478	373
869	2481	370
870	2484	368
871	2487	365
872	2490	362
873	2493	359
874	2497	356
875	2500	353
876	2504	351
877	2507	348
878	2511	345
879	2514	342
880	2518	340
881	2521	337
882	2525	334
883	2528	331
884	2532	329
885	2534	326
886	2537	323
887	2540	320
888	2542	317
889	2547	314
890	2550	312
891	2553	309
892	2556	306
893	2558	303
894	2561	300
895	2565	297
896	2568	294
897	2571	292
898	2575	289
899	2577	286
900	2579	283
901	2582	280
902	2584	277
903	2586	274
904	2588	271
905	2592	268
906	2595	266
907	2597	263
908	2599	260
909	2602	257
910	2605	254
911	2608	251
912	2610	248
913	2613	245
914	2615	242
915	2618	240
916	2622	237
917	2624	234
918	2627	231
919	2629	228
920	2632	225
921	2635	222
922	2637	220
923	2640	217
924	2642	214
925	2644	211
926	2646	208
927	2650	205
928	2652	202
929	2655	199
930	2658	197
931	2660	194
932	2663	191
933	2665	188
934	2668	185
935	2671	182
936	2674	179
937	2677	176
938	2680	174
939	2683	171
940	2685	168
941	2688	165
942	2691	162
943	2693	159
944	2698	157
945	2701	154
946	2705	151
947	2709	148
948	2712	145
949	2714	142
950	2717	139
951	2719	137
952	2722	134
953	2724	131
954	2727	128
955	2731	125
956	2734	122
957	2741	120
958	2745	117
959	2748	114
960	2751	111
961	2755	108
962	2759	106
963	2762	103
964	2765	100
965	2768	97
966	2771	94
967	2773	91
968	2776	88
969	2778	85
970	2781	83
971	2785	80
972	2788	77
973	2791	74
974	2794	71
975	2798	68
976	2801	65
977	2803	63
978	2806	60
979	2809	57
980	2811	54
981	2814	51
982	2817	48
983	2822	45
984	2825	43
985	2828	40
986	2831	37
987	2833	34
988	2837	31
989	2839	28
990	2842	25
991	2845	22
992	2848	20
993	2851	17
994	2854	14
995	2856	11
996	2859	8
997	2861	5
998	2864	2
999	2867	0
